Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
Randolph Nickle,Kenora--Rainy River,Nickle,35,Progressive Conservative Party of Ontario,35Nickle
Mark Bain,Kingston And The Islands,Bain,36,Progressive Conservative Party of Ontario,36Bain
Mary Rita Holland,Kingston And The Islands,Holland,36,New Democratic Party of Ontario,36Holland
Robert Kiley,Kingston And The Islands,Kiley,36,Green Party of Ontario,36Kiley
Sophie Kiwala,Kingston And The Islands,Kiwala,36,Ontario Liberal Party,36Kiwala
Jonathan Reid,Kingston And The Islands,Reid,36,Freedom Party of Ontario,36Reid
Patrick Bernier,Kitchener Centre,Bernier,37,Ontario Libertarian Party,37Bernier
Margaret Johnston,Kitchener Centre,Johnston,37,New Democratic Party of Ontario,37Johnston
Ronnie Smith,Kitchener Centre,Smith,37,Green Party of Ontario,37Smith
Daiene Vernile,Kitchener Centre,Vernile,37,Ontario Liberal Party,37Vernile
Wayne Wettlaufer,Kitchener Centre,Wettlaufer,37,Progressive Conservative Party of Ontario,37Wettlaufer
Michael Harris,Kitchener--Conestoga,Harris,38,Progressive Conservative Party of Ontario,38Harris
David Schumm,Kitchener--Conestoga,Schumm,38,Ontario Libertarian Party,38Schumm
James Villeneuve,Kitchener--Conestoga,Villeneuve,38,New Democratic Party of Ontario,38Villeneuve
David Weber,Kitchener--Conestoga,Weber,38,Green Party of Ontario,38Weber
Wayne Wright,Kitchener--Conestoga,Wright,38,Ontario Liberal Party,38Wright
Jamie Burton,Kitchener--Waterloo,Burton,39,Ontario Liberal Party,39Burton
Stacey Danckert,Kitchener--Waterloo,Danckert,39,Green Party of Ontario,39Danckert
Catherine Fife,Kitchener--Waterloo,Fife,39,New Democratic Party of Ontario,39Fife
James Schulz,Kitchener--Waterloo,Schulz,39,Ontario Libertarian Party,39Schulz
Tracey Weiler,Kitchener--Waterloo,Weiler,39,Progressive Conservative Party of Ontario,39Weiler
James Armstrong,Lambton--Kent--Middlesex,Armstrong,40,Green Party of Ontario,40Armstrong
Dave Durnin,Lambton--Kent--Middlesex,Durnin,40,Freedom Party of Ontario,40Durnin
Joe Hill,Lambton--Kent--Middlesex,Hill,40,New Democratic Party of Ontario,40Hill
Robert Edwin Lewis,Lambton--Kent--Middlesex,Lewis,40,None of the Above Party,40Lewis
Monte McNaughton,Lambton--Kent--Middlesex,McNaughton,40,Progressive Conservative Party of Ontario,40McNaughton
Mike Radan,Lambton--Kent--Middlesex,Radan,40,Ontario Liberal Party,40Radan
Matt Willson,Lambton--Kent--Middlesex,Willson,40,Ontario Libertarian Party,40Willson
Randy Hillier,Lanark--Frontenac--Lennox And Addington,Hillier,41,Progressive Conservative Party of Ontario,41Hillier
Bill MacDonald,Lanark--Frontenac--Lennox And Addington,MacDonald,41,Ontario Liberal Party,41MacDonald
Cam Mather,Lanark--Frontenac--Lennox And Addington,Mather,41,Green Party of Ontario,41Mather
David Parkhill,Lanark--Frontenac--Lennox And Addington,Parkhill,41,New Democratic Party of Ontario,41Parkhill
Stephen Bowering,Leeds--Grenville,Bowering,42,Green Party of Ontario,42Bowering
Steve Clark,Leeds--Grenville,Clark,42,Progressive Conservative Party of Ontario,42Clark
Harold Gabriel,Leeds--Grenville,Gabriel,42,Ontario Libertarian Party,42Gabriel
David Lundy,Leeds--Grenville,Lundy,42,New Democratic Party of Ontario,42Lundy
Christine Milks,Leeds--Grenville,Milks,42,Ontario Liberal Party,42Milks
